
Date: 30/01/2023 17:39:55
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1462,9200	-58,8412	-58,0474
1462,9280	-59,1195	-57,4681
1462,9360	-59,5285	-57,5111
1462,9440	-59,3781	-58,6540
1462,9520	-58,8925	-58,2857
1462,9600	-58,6725	-58,1113
1462,9680	-59,2270	-58,1989
1462,9760	-58,8067	-58,8492
1462,9840	-59,5481	-58,3381
1462,9920	-58,7843	-58,3905
1463,0000	-58,3689	-58,0323
1463,0080	-59,0126	-57,8327
1463,0160	-58,9930	-58,0022
1463,0240	-58,5826	-57,9218
1463,0320	-59,3612	-56,9663
1463,0400	-58,9993	-58,3812
1463,0480	-59,1651	-58,2398
1463,0560	-59,5875	-58,4293
1463,0640	-59,2010	-57,4307
1463,0720	-58,7814	-57,6274
1463,0800	-59,3366	-58,2132
1463,0880	-59,5495	-57,4724
1463,0960	-59,3113	-57,5879
1463,1040	-59,4758	-57,3948
1463,1120	-59,6044	-58,5126
1463,1200	-59,4146	-57,1924
1463,1280	-59,1982	-57,0459
1463,1360	-59,8475	-57,5004
1463,1440	-59,4835	-57,7279
1463,1520	-59,0204	-58,2857
1463,1600	-59,3928	-57,1558
1463,1680	-59,5039	-57,1127
1463,1760	-59,5116	-58,1314
1463,1840	-59,1736	-58,2663
1463,1920	-59,3296	-57,4774
1463,2000	-59,1665	-58,0912
1463,2080	-59,2143	-58,1012
1463,2160	-58,6683	-57,7933
1463,2240	-59,1265	-57,9993
1463,2320	-59,5004	-58,1823
1463,2400	-59,6479	-58,2190
1463,2480	-59,8595	-58,1206
1463,2560	-59,4926	-58,4968
1463,2640	-58,8060	-58,3632
1463,2720	-58,3612	-58,3575
1463,2800	-58,9058	-56,6188
1463,2880	-59,6268	-57,8306
1463,2960	-59,1926	-58,4099
1463,3040	-59,4589	-57,9734
1463,3120	-59,3373	-57,2706
1463,3200	-58,8559	-57,1960
1463,3280	-59,1110	-56,5169
1463,3360	-58,9192	-58,5614
1463,3440	-59,1195	-58,6942
1463,3520	-59,0401	-58,5248
1463,3600	-59,1525	-58,5542
1463,3680	-59,2368	-59,0503
1463,3760	-58,9726	-58,3704
1463,3840	-58,9698	-58,2312
1463,3920	-58,9592	-58,1551
1463,4000	-59,2207	-57,7904
1463,4080	-58,9276	-57,9081
1463,4160	-59,3443	-57,2778
1463,4240	-59,4603	-57,4903
1463,4320	-58,9874	-57,9462
1463,4400	-58,7871	-57,2994
1463,4480	-58,9093	-58,5485
1463,4560	-57,8953	-58,0854
1463,4640	-59,0956	-58,0503
1463,4720	-59,5601	-58,5190
1463,4800	-59,2769	-58,6849
1463,4880	-58,7674	-59,1228
1463,4960	-59,0485	-58,5391
1463,5040	-59,0829	-58,6999
1463,5120	-59,6022	-59,3676
1463,5200	-59,6985	-58,4903
1463,5280	-59,5137	-58,4149
1463,5360	-59,3050	-58,0151
1463,5440	-59,5720	-57,4149
1463,5520	-59,7273	-58,3597
1463,5600	-59,1813	-59,4436
1463,5680	-58,8623	-58,4630
1463,5760	-59,2157	-58,2039
1463,5840	-59,4083	-58,2405
1463,5920	-58,8988	-58,6676
1463,6000	-58,5172	-58,7502
1463,6080	-59,0998	-57,3525
1463,6160	-59,3387	-57,4257
1463,6240	-59,3970	-57,4996
1463,6320	-59,2087	-58,1342
1463,6400	-59,0787	-57,4982
1463,6480	-59,3310	-57,9763
1463,6560	-59,3921	-57,9153
1463,6640	-59,0956	-58,7093
1463,6720	-58,9276	-59,0510
1463,6800	-59,2305	-59,2139
1463,6880	-59,0415	-57,7150
1463,6960	-59,5678	-58,8744
1463,7040	-59,1862	-59,5700
1463,7120	-59,1876	-58,3381
1463,7200	-59,4350	-57,9612
1463,7280	-59,2263	-57,8385
1463,7360	-59,5594	-57,2340
1463,7440	-59,1532	-57,8177
1463,7520	-59,0534	-58,7057
1463,7600	-59,0162	-57,2426
1463,7680	-59,0429	-57,3029
1463,7760	-59,0260	-57,3661
1463,7840	-59,0583	-56,5341
1463,7920	-59,1089	-56,0158
1463,8000	-59,1911	-57,2706
1463,8080	-59,3619	-58,1759
1463,8160	-59,5819	-57,6159
1463,8240	-59,5531	-57,8945
1463,8320	-59,0632	-58,6963
1463,8400	-59,1813	-57,9275
1463,8480	-59,2207	-57,3087
1463,8560	-58,8777	-57,7832
1463,8640	-58,7063	-58,1027
1463,8720	-58,8538	-57,6669
1463,8800	-59,7871	-58,1242
1463,8880	-59,5193	-58,6920
1463,8960	-59,6205	-57,0610
1463,9040	-59,0745	-57,5190
1463,9120	-59,3113	-57,7416
1463,9200	-59,0014	-57,5930
1463,9280	-58,3809	-56,6784
1463,9360	-58,7210	-57,0646
1463,9440	-58,8855	-57,4910
1463,9520	-59,1567	-57,6454
1463,9600	-58,8187	-57,1328
1463,9680	-58,2129	-57,3826
1463,9760	-58,0675	-58,7301
1463,9840	-58,8932	-58,8808
1463,9920	-58,8939	-58,7933
1464,0000	-59,0394	-58,9756
1464,0080	-59,2417	-58,6856
1464,0160	-58,9129	-57,6339
1464,0240	-58,5938	-58,8040
1464,0320	-59,0021	-58,9447
1464,0400	-59,5109	-59,0165
1464,0480	-59,4034	-58,3151
1464,0560	-59,2178	-58,0517
1464,0640	-58,4814	-58,0581
1464,0720	-58,1349	-58,0072
1464,0800	-58,2853	-59,0955
1464,0880	-59,3219	-58,3927
1464,0960	-59,2298	-59,1055
1464,1040	-59,0365	-58,6942
1464,1120	-59,2980	-57,9052
1464,1200	-59,4427	-58,0115
1464,1280	-59,2762	-58,0617
1464,1360	-59,9009	-57,7308
1464,1440	-59,7983	-58,2907
1464,1520	-59,4919	-58,3352
1464,1600	-58,7379	-58,3489
1464,1680	-58,6599	-58,9067
1464,1760	-59,3106	-58,4121
1464,1840	-59,1469	-58,8033
1464,1920	-58,6149	-56,9426
1464,2000	-59,0654	-57,1199
1464,2080	-59,4357	-57,6303
1464,2160	-59,0935	-58,1587
1464,2240	-59,6648	-58,4078
1464,2320	-59,3113	-58,9067
1464,2400	-58,8566	-57,8715
1464,2480	-59,2403	-58,3144
1464,2560	-59,3268	-58,7803
1464,2640	-59,4448	-58,2060
1464,2720	-59,7365	-57,0043
1464,2800	-59,9290	-56,4781
1464,2880	-59,4807	-56,5628
1464,2960	-58,9424	-56,5298
1464,3040	-58,9473	-58,4566
1464,3120	-58,7056	-58,6569
1464,3200	-58,7695	-57,8083
1464,3280	-59,2431	-58,0668
1464,3360	-59,2417	-59,0617
1464,3440	-58,3556	-58,5162
1464,3520	-58,9030	-58,3230
1464,3600	-59,0239	-58,1680
1464,3680	-59,0717	-58,8227
1464,3760	-59,0654	-58,7373
1464,3840	-59,3900	-58,7416
1464,3920	-59,1370	-58,4243
1464,4000	-59,5495	-57,5664
1464,4080	-59,3605	-57,8234
1464,4160	-59,1504	-57,8765
1464,4240	-59,0267	-57,2986
1464,4320	-59,4245	-58,3051
1464,4400	-59,7351	-59,0704
1464,4480	-59,3816	-58,6202
1464,4560	-59,0998	-57,8335
1464,4640	-58,6353	-57,8959
1464,4720	-58,6571	-59,1508
1464,4800	-59,3605	-58,4042
1464,4880	-59,3598	-58,4645
1464,4960	-58,8489	-57,9727
1464,5040	-59,2417	-57,3288
1464,5120	-59,0632	-57,7179
1464,5200	-59,2523	-58,2168
1464,5280	-59,1658	-58,5075
1464,5360	-59,5144	-58,5614
1464,5440	-59,4441	-58,3431
1464,5520	-58,7793	-58,4961
1464,5600	-59,1708	-58,3381
1464,5680	-59,3851	-58,4587
1464,5760	-59,6353	-58,4243
1464,5840	-59,0379	-58,8536
1464,5920	-59,3261	-58,0969
1464,6000	-58,8545	-59,1421
1464,6080	-59,3212	-59,5614
1464,6160	-59,3015	-59,7078
1464,6240	-59,4329	-58,7444
1464,6320	-59,1764	-58,7918
1464,6400	-59,0204	-58,6375
1464,6480	-59,0056	-58,7373
1464,6560	-59,1722	-58,9160
1464,6640	-58,9213	-58,2965
1464,6720	-59,1820	-58,8801
1464,6800	-59,6430	-58,4221
1464,6880	-59,3197	-58,6583
1464,6960	-59,1940	-57,9246
1464,7040	-59,2973	-58,1328
1464,7120	-59,3352	-57,7229
1464,7200	-59,0513	-57,1766
1464,7280	-58,9220	-56,8385
1464,7360	-59,3015	-57,0352
1464,7440	-58,8461	-58,0179
1464,7520	-59,1174	-57,4487
1464,7600	-58,9346	-59,0057
1464,7680	-59,0647	-58,6396
1464,7760	-59,1511	-57,7473
1464,7840	-58,7779	-57,6210
1464,7920	-58,7020	-58,1565
1464,8000	-58,6908	-58,8643
1464,8080	-59,3816	-58,1910
1464,8160	-59,3008	-57,6920
1464,8240	-59,0773	-57,0402
1464,8320	-58,7997	-58,0797
1464,8400	-59,0000	-57,4436
1464,8480	-58,8904	-57,3769
1464,8560	-58,8658	-57,5298
1464,8640	-58,8833	-57,8320
1464,8720	-59,3703	-58,0366
1464,8800	-59,0604	-58,0797
1464,8880	-58,6283	-58,4221
1464,8960	-58,8166	-58,0101
1464,9040	-59,1089	-57,6073
1464,9120	-59,1441	-57,4745
1464,9200	-59,4195	-58,6856
1464,9280	-59,5762	-57,9131
1464,9360	-58,2825	-58,1558
1464,9440	-58,9227	-57,6482
1464,9520	-59,2558	-57,9943
1464,9600	-59,1715	-57,6561
1464,9680	-59,3078	-58,9526
1464,9760	-59,0309	-59,0309
1464,9840	-58,7098	-58,1989
1464,9920	-58,2888	-58,8105
1465,0000	-58,1546	-58,5564
1465,0080	-58,8468	-57,5391
1465,0160	-59,8890	-58,2613
1465,0240	-59,3535	-58,3999
1465,0320	-59,0871	-58,2032
